Area,Address,City,County,Price
5092,6870 RUTLAND Street,Detroit,Wayne,"$10,000 "
5032,18200 FERGUSON Street,Detroit,Wayne,"$10,000 "
5033,15350 BRAMELL Street,Detroit,Wayne,"$10,000 "
5033,16605 WESTBROOK Street,Detroit,Wayne,"$10,000 "
5055,10727 BEACONSFIELD Street,Detroit,Wayne,"$10,000 "
5054,15514 BRINGARD,Detroit,Wayne,"$10,000 "
5066,591 LAKEWOOD Street,Detroit,Wayne,"$10,000 "
5034,10048 WOODMONT Avenue,Detroit,Wayne,"$10,000 "
5092,6371 FAUST Avenue,Detroit,Wayne,"$10,000 "
5054,19545 Rowe,Detroit,Wayne,"$10,000 "
5055,15440 EASTWOOD Street,Detroit,Wayne,"$10,000 "
5042,10156 ORANGELAWN Street,Detroit,Wayne,"$10,000 "
5042,15813 CRUSE Street,Detroit,Wayne,"$10,000 "
5051,20461 SPENCER Street,Detroit,Wayne,"$10,000 "
5041,19700 WOODINGHAM,Detroit,Wayne,"$10,000 "
5033,15368 GILCHRIST Street,Detroit,Wayne,"$10,000 "
5092,8448 FIELDING Street,Detroit,Wayne,"$10,000 "
5092,6213 WESTWOOD Street,Detroit,Wayne,"$10,000 "
5042,16661 ARDMORE Street,Detroit,Wayne,"$10,000 "
5042,8842 HARTWELL,Detroit,Wayne,"$10,000 "
5101,3866 31ST Street,Detroit,Wayne,"$10,000 "
5051,18500 FENELON Street,Detroit,Wayne,"$10,000 "
5052,3763 SEMINOLE STREET,DETROIT,Wayne,"$10,000 "
5092,8262 BRACE Street,Detroit,Wayne,"$10,000 "
5055,9172 YORKSHIRE Road,Detroit,Wayne,"$10,000 "
5043,20140 Woodingham,Detroit,Wayne,"$10,000 "
5066,3426 HARDING Street,Detroit,Wayne,"$10,000 "
5055,4333 BEACONSFIELD Street,Detroit,Wayne,"$10,000 "
5042,15767 LITTLEFIELD Street,Detroit,Wayne,"$10,000 "
5066,1583 Cadillac Boulevard,Detroit,Wayne,"$10,000 "
5033,15884 SOUTHFIELD Freeway,Detroit,Wayne,"$10,000 "
5066,737 MARLBOROUGH,DETROIT,Wayne,"$10,000 "
