Area,Address,City,County,Price
5042,15044 PREST Street,Detroit,Wayne,"$40,000 "
5042,16545 LILAC Street,Detroit,Wayne,"$40,000 "
5051,18816 BUFFALO Street,Detroit,Wayne,"$40,000 "
5052,9129 FISCHER Street,Detroit,Wayne,"$40,000 "
5042,9235 PINEHURST Street,Detroit,Wayne,"$40,000 "
5051,19931 MOENART Street,Detroit,Wayne,"$40,000 "
5042,9561 DECATUR Street,Detroit,Wayne,"$40,000 "
5042,9214 PINEHURST Street,Detroit,Wayne,"$40,000 "
5092,7771 FAUST Avenue,Detroit,Wayne,"$40,000 "
5055,10537 NOTTINGHAM Road,Detroit,Wayne,"$40,000 "
5055,13019 LONGVIEW Street,Detroit,Wayne,"$40,000 "
5101,4263 BANGOR Street,Detroit,Wayne,"$40,000 "
5042,15761 Northlawn Street,Detroit,Wayne,"$40,000 "
5066,966 ALGONQUIN Street,Detroit,Wayne,"$40,000 "
5032,19908 STOUT Street,Detroit,Wayne,"$40,000 "
5055,12525 RIAD Street,Detroit,Wayne,"$40,000 "
5054,12037 KENNEBEC Street,Detroit,Wayne,"$40,000 "
5066,3419 ALGONQUIN Street,Detroit,Wayne,"$40,000 "
5042,16581 APPOLINE Street,Detroit,Wayne,"$40,000 "
5051,18555 LUMPKIN Street,Detroit,Wayne,"$40,000 "
5092,8661 AUBURN Street,Detroit,Wayne,"$40,000 "
5051,6751 COVERT STREET Street,Detroit,Wayne,"$40,000 "
5033,14340 EVERGREEN Road,Detroit,Wayne,"$40,000 "
5055,11781 KILBOURNE Street,Detroit,Wayne,"$40,000 "
5042,15711 SNOWDEN Street,Detroit,Wayne,"$40,000 "
5034,12003 METTETAL Street,Detroit,Wayne,"$40,000 "
5041,19612 Omira Street,Detroit,Wayne,"$40,000 "
5043,993 MOUNT VERNON Street,Detroit,Wayne,"$40,000 "
5043,15745 Princeton Street,Detroit,Wayne,"$40,000 "
5042,14371 Ardmore Street,Detroit,Wayne,"$40,000 "
5055,20071 MCCORMICK Street,Detroit,Wayne,"$40,000 "
5042,14290 Marlowe St,Detroit,Wayne,"$40,000 "
5041,19710 COYLE Street,Detroit,Wayne,"$40,000 "
5032,19007 HEYDEN Street,Detroit,Wayne,"$40,000 "
5051,20446 Stotter Street,Detroit,Wayne,"$40,000 "
5054,17325 WALTHAM Street,Detroit,Wayne,"$40,000 "
5042,12095 COYLE Street,Detroit,Wayne,"$40,000 "
5055,12389 CAMDEN Street,Detroit,Wayne,"$40,000 "
5101,3085 Tillman Street,Detroit,Wayne,"$40,000 "
5051,20128 NORWOOD Street,Detroit,Wayne,"$40,000 "
5032,19163 PATTON Street,Detroit,Wayne,"$40,000 "
5034,9540 RUTLAND Street,Detroit,Wayne,"$40,000 "
5055,10424 Nottingham Road,Detroit,Wayne,"$40,000 "
5033,16734 RUTHERFORD Street,Detroit,Wayne,"$40,000 "
5055,5251 Nottingham Road,Detroit,Wayne,"$40,000 "
5032,19720 GREYDALE Avenue,Detroit,Wayne,"$40,000 "
5032,18459 Greenfield Road,Detroit,Wayne,"$40,000 "
5032,19333 GRANDVILLE Avenue,Detroit,Wayne,"$40,000 "
5041,18500 Greenfield Road,Detroit,Wayne,"$40,000 "
5051,19711 SHIELDS Street,Detroit,Wayne,"$40,000 "
5032,18025 GREENFIELD Road,Detroit,Wayne,"$40,000 "
5033,14550 SOUTHFIELD Freeway,Detroit,Wayne,"$40,000 "
5055,9837 PHILIP Street,Detroit,Wayne,"$40,000 "
5032,19757 FERGUSON Street,Detroit,Wayne,"$40,000 "
5033,15818 Burgess,Detroit,Wayne,"$40,000 "
5042,11300 WARD Street,Detroit,Wayne,"$40,000 "
5033,15439 BURT Road,Detroit,Wayne,"$40,000 "
5034,12081 VAUGHAN Street,Detroit,Wayne,"$40,000 "
5032,18520 Evergreen Road,Detroit,Wayne,"$40,000 "
5054,11866 COLLEGE Street,Detroit,Wayne,"$40,000 "
