Area,Address,City,County,Price,full_address,latitude,longitude
5042,15044 PREST Street,Detroit,Wayne,"$40,000","15044 PREST Street, Detroit, Wayne",42.4001003,-83.1971777
5042,16545 LILAC Street,Detroit,Wayne,"$40,000","16545 LILAC Street, Detroit, Wayne",42.41296,-83.14720609999999
5051,18816 BUFFALO Street,Detroit,Wayne,"$40,000","18816 BUFFALO Street, Detroit, Wayne",42.4319359,-83.04788289999999
5052,9129 FISCHER Street,Detroit,Wayne,"$40,000","9129 FISCHER Street, Detroit, Wayne",42.396803,-83.0166976
5042,9235 PINEHURST Street,Detroit,Wayne,"$40,000","9235 PINEHURST Street, Detroit, Wayne",42.3630264,-83.16570159999999
5051,19931 MOENART Street,Detroit,Wayne,"$40,000","19931 MOENART Street, Detroit, Wayne",42.4415656,-83.050725
5042,9561 DECATUR Street,Detroit,Wayne,"$40,000","9561 DECATUR Street, Detroit, Wayne",42.3667105,-83.1805574
5042,9214 PINEHURST Street,Detroit,Wayne,"$40,000","9214 PINEHURST Street, Detroit, Wayne",42.3627401,-83.1651304
5092,7771 FAUST Avenue,Detroit,Wayne,"$40,000","7771 FAUST Avenue, Detroit, Wayne",42.3493587,-83.2212928
5055,10537 NOTTINGHAM Road,Detroit,Wayne,"$40,000","10537 NOTTINGHAM Road, Detroit, Wayne",42.4178994,-82.9496726
5055,13019 LONGVIEW Street,Detroit,Wayne,"$40,000","13019 LONGVIEW Street, Detroit, Wayne",42.4086423,-82.9766179
5101,4263 BANGOR Street,Detroit,Wayne,"$40,000","4263 BANGOR Street, Detroit, Wayne",42.3376164,-83.1044673
5042,15761 Northlawn Street,Detroit,Wayne,"$40,000","15761 Northlawn Street, Detroit, Wayne",42.407094,-83.15372180000001
5066,966 ALGONQUIN Street,Detroit,Wayne,"$40,000","966 ALGONQUIN Street, Detroit, Wayne",42.36915279999999,-82.9559124
5032,19908 STOUT Street,Detroit,Wayne,"$40,000","19908 STOUT Street, Detroit, Wayne",42.4369734,-83.2437482
5055,12525 RIAD Street,Detroit,Wayne,"$40,000","12525 RIAD Street, Detroit, Wayne",42.4299553,-82.9541764
5054,12037 KENNEBEC Street,Detroit,Wayne,"$40,000","12037 KENNEBEC Street, Detroit, Wayne",42.4210655,-82.99878079999999
5066,3419 ALGONQUIN Street,Detroit,Wayne,"$40,000","3419 ALGONQUIN Street, Detroit, Wayne",42.38126090000001,-82.9639756
5042,16581 APPOLINE Street,Detroit,Wayne,"$40,000","16581 APPOLINE Street, Detroit, Wayne",42.4131444,-83.1712495
5051,18555 LUMPKIN Street,Detroit,Wayne,"$40,000","18555 LUMPKIN Street, Detroit, Wayne",42.4291203,-83.08052390000002
5092,8661 AUBURN Street,Detroit,Wayne,"$40,000","8661 AUBURN Street, Detroit, Wayne",42.356675,-83.2337527
5051,6751 COVERT STREET Street,Detroit,Wayne,"$40,000","6751 COVERT STREET Street, Detroit, Wayne",42.42033379999999,-83.032268
5033,14340 EVERGREEN Road,Detroit,Wayne,"$40,000","14340 EVERGREEN Road, Detroit, Wayne",42.3917329,-83.2367373
5055,11781 KILBOURNE Street,Detroit,Wayne,"$40,000","11781 KILBOURNE Street, Detroit, Wayne",42.4096805,-82.9932236
5042,15711 SNOWDEN Street,Detroit,Wayne,"$40,000","15711 SNOWDEN Street, Detroit, Wayne",42.4060442,-83.17733249999999
5034,12003 METTETAL Street,Detroit,Wayne,"$40,000","12003 METTETAL Street, Detroit, Wayne",42.3747562,-83.2063149
5041,19612 Omira Street,Detroit,Wayne,"$40,000","19612 Omira Street, Detroit, Wayne",42.4376349,-83.0958433
5043,993 MOUNT VERNON Street,Detroit,Wayne,"$40,000","993 MOUNT VERNON Street, Detroit, Wayne",42.37976279999999,-83.0664439
5043,15745 Princeton Street,Detroit,Wayne,"$40,000","15745 Princeton Street, Detroit, Wayne",42.4071933,-83.12874529999999
5042,14371 Ardmore Street,Detroit,Wayne,"$40,000","14371 Ardmore Street, Detroit, Wayne",42.3935237,-83.1844112
5055,20071 MCCORMICK Street,Detroit,Wayne,"$40,000","20071 MCCORMICK Street, Detroit, Wayne",42.4283606,-82.9348681
5042,14290 Marlowe St,Detroit,Wayne,"$40,000","14290 Marlowe St, Detroit, Wayne",42.3922893,-83.189318599999993
5041,19710 COYLE Street,Detroit,Wayne,"$40,000","19710 COYLE Street, Detroit, Wayne",42.436189,-83.1949343
5032,19007 HEYDEN Street,Detroit,Wayne,"$40,000","19007 HEYDEN Street, Detroit, Wayne",42.428656,-83.24095899999999
5051,20446 Stotter Street,Detroit,Wayne,"$40,000","20446 Stotter Street, Detroit, Wayne",42.4468205,-83.02560509999999
5054,17325 WALTHAM Street,Detroit,Wayne,"$40,000","17325 WALTHAM Street, Detroit, Wayne",42.4257077,-82.9947392
5042,12095 COYLE Street,Detroit,Wayne,"$40,000","12095 COYLE Street, Detroit, Wayne",42.3762411,-83.1936125
5055,12389 CAMDEN Street,Detroit,Wayne,"$40,000","12389 CAMDEN Street, Detroit, Wayne",42.4023829,-82.97994279999999
5101,3085 Tillman Street,Detroit,Wayne,"$40,000","3085 Tillman Street, Detroit, Wayne",42.33371280000001,-83.09111519999999
5051,20128 NORWOOD Street,Detroit,Wayne,"$40,000","20128 NORWOOD Street, Detroit, Wayne",42.4431963,-83.0675313
5032,19163 PATTON Street,Detroit,Wayne,"$40,000","19163 PATTON Street, Detroit, Wayne",42.4304694,-83.245469
5034,9540 RUTLAND Street,Detroit,Wayne,"$40,000","9540 RUTLAND Street, Detroit, Wayne",42.36582629999999,-83.2127929
5055,10424 Nottingham Road,Detroit,Wayne,"$40,000","10424 Nottingham Road, Detroit, Wayne",42.4163662,-82.9502188
5033,16734 RUTHERFORD Street,Detroit,Wayne,"$40,000","16734 RUTHERFORD Street, Detroit, Wayne",42.4130366,-83.20437040000002
