Area,Address,City,County,Price,full_address,latitude,longitude
5092,6870 RUTLAND Street,Detroit,Wayne,"$10,000","6870 RUTLAND Street, Detroit, Wayne",42.3422691,-83.2119633
5032,18200 FERGUSON Street,Detroit,Wayne,"$10,000","18200 FERGUSON Street, Detroit, Wayne",42.423156,-83.2100837
5033,15350 BRAMELL Street,Detroit,Wayne,"$10,000","15350 BRAMELL Street, Detroit, Wayne",42.401376,-83.2641013
5033,16605 WESTBROOK Street,Detroit,Wayne,"$10,000","16605 WESTBROOK Street, Detroit, Wayne",42.4110061,-83.2511459
5055,10727 BEACONSFIELD Street,Detroit,Wayne,"$10,000","10727 BEACONSFIELD Street, Detroit, Wayne",42.4188172,-82.9503028
5054,15514 BRINGARD,Detroit,Wayne,"$10,000","15514 BRINGARD, Detroit, Wayne",42.4461756,-82.9612152
5066,591 LAKEWOOD Street,Detroit,Wayne,"$10,000","591 LAKEWOOD Street, Detroit, Wayne",42.3677416,-82.94306250000001
5034,10048 WOODMONT Avenue,Detroit,Wayne,"$10,000","10048 WOODMONT Avenue, Detroit, Wayne",42.369817,-83.20806549999999
5092,6371 FAUST Avenue,Detroit,Wayne,"$10,000","6371 FAUST Avenue, Detroit, Wayne",42.3371615,-83.22085179999999
5054,19545 Rowe,Detroit,Wayne,"$10,000","19545 Rowe, Detroit, Wayne",42.4387721,-83.0038493
5055,15440 EASTWOOD Street,Detroit,Wayne,"$10,000","15440 EASTWOOD Street, Detroit, Wayne",42.4337657,-82.96212369999999
5042,10156 ORANGELAWN Street,Detroit,Wayne,"$10,000","10156 ORANGELAWN Street, Detroit, Wayne",42.3692025,-83.16140519999999
5042,15813 CRUSE Street,Detroit,Wayne,"$10,000","15813 CRUSE Street, Detroit, Wayne",42.4076542,-83.1839399
5051,20461 SPENCER Street,Detroit,Wayne,"$10,000","20461 SPENCER Street, Detroit, Wayne",42.4469617,-83.0274312
5041,19700 WOODINGHAM,Detroit,Wayne,"$10,000","19700 WOODINGHAM, Detroit, Wayne",42.4369683,-83.1505205
5033,15368 GILCHRIST Street,Detroit,Wayne,"$10,000","15368 GILCHRIST Street, Detroit, Wayne",42.4027411,-83.2111935
5092,8448 FIELDING Street,Detroit,Wayne,"$10,000","8448 FIELDING Street, Detroit, Wayne",42.3546384,-83.2403021
5092,6213 WESTWOOD Street,Detroit,Wayne,"$10,000","6213 WESTWOOD Street, Detroit, Wayne",42.3346796,-83.2304509
5042,16661 ARDMORE Street,Detroit,Wayne,"$10,000","16661 ARDMORE Street, Detroit, Wayne",42.4139018,-83.185288
5042,8842 HARTWELL,Detroit,Wayne,"$10,000","8842 HARTWELL, Detroit, Wayne",42.3593328,-83.1760166
5101,3866 31ST Street,Detroit,Wayne,"$10,000","3866 31ST Street, Detroit, Wayne",42.3331243,-83.109257
5051,18500 FENELON Street,Detroit,Wayne,"$10,000","18500 FENELON Street, Detroit, Wayne",42.4293822,-83.0528952
5052,3763 SEMINOLE STREET,DETROIT,Wayne,"$10,000","3763 SEMINOLE STREET, DETROIT, Wayne",42.3700816,-83.00488390000001
